Interior Light(s),Rinse And Hold Cycle,Delay Start,Cutout Height (in.),Nylon Rack Material,Adjustable Tines,Number Of Cycles,Removeable Silverware Basket,Hard Food Disposer,Sensor Wash,Cutout Width (in.),Decibel Level,Cutout Depth (in.),Estimated Yearly Operating Cost,Number Of Wash Cycles,Number Of Units,Interior Capacity,Adjustable Racks,Sound Reduction Package,Sound-Reduction System,Stemware Holder,NSF Listed,Control-Lock Option,Integrated Hose,ETL Listed,Water Soil Sensor,Silverware Basket Location,Cycles (Number of),Wattage,Door Style,Tub Finish,Automatic Detergent Dispenser,Spray/Wash Levels (Number of),Steam Pre-Wash,Estimated Yearly Electricity Use (kWh),Steam Cleaning,Power Cord Included,Voltage,Cup Shelf,High-Temperature Wash,Control Type,Quick-Rinse Cycle,Number Of Racks,UL Listed,ANSI Certified,Operating Sound Level,ADA Compliant,ENERGY STAR Certified,NSF-Certified Sanitization Cycle,Convertible,Color Category,China/Crystal Cycle,NSF Certified Sanitization Cycle,Self-Cleaning Filter,End-Of-Cycle Signal,Depth With Door Open,Casters,CEE Qualified,Interior Finish,Hidden Control Panel,Star K Certified,Estimated Annual Operating Cost,Filtered Water,Capacity,Estimated Annual Electricity Use,Removable Racks,Water Consumption Per Cycle,Heated Drying,Tall Tub Design,Additional Accessories Included,Pots And Pans Cycle,Cut-Out Width,Normal Wash Cycle,Child Lock,Cut-Out Height,pricematch,Rack Material,Automatic Temperature Control,CSA Listed,Number Of Wash Arms,Motion Activated Controls,Cycle Status Lights,Depth Less Door,Integrated Water-Softener,Smart Phone Compatible,Delay-Start Option,Cut-Out Depth,Extra-Rinse Cycle,Amperage,Number of Racks,Dishwasher Type,Pots-and-Pans Cycle
N/A,N/A,Yes,N/A,N/A,Yes,4,N/A,No,N/A,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Other,N/A,N/A,Integrated,Plastic,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,Electronic,Yes,N/A,N/A,N/A,54 decibels,N/A,Yes,Yes,N/A,White,No,N/A,N/A,No,49.25 inches,N/A,N/A,Stainless steel,No,Yes,30 United States dollars,N/A,N/A,286 kilowatt hours,N/A,8.5 gallons,Yes,Yes,N/A,No,24 inches,N/A,No,34.25 inches,yes,Nylon,Yes,N/A,N/A,N/A,No,25 inches,N/A,N/A,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
N/A,N/A,N/A,34,No,No,N/A,N/A,No,N/A,24,55dB,24,$31 with an electric water heater; $22 with a natural gas water heater,N/A,N/A,Up to 13 place settings,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,Plastic,N/A,4,N/A,260,No,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Stainless/Stainless look,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,Yes,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,2,Full-size built-in,Yes
N/A,N/A,N/A,N/A,N/A,Yes,7,N/A,No,Yes,N/A,N/A,N/A,N/A,N/A,1,N/A,Adjustable,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Electronic,Yes,2,N/A,N/A,N/A,N/A,No,Yes,N/A,Silver,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,N/A,No,31 United States dollars,N/A,N/A,260 kilowatt hours,No,N/A,Yes,Yes,N/A,Yes,24 inches,N/A,N/A,35.75 inches,yes,Nylon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24 inches,N/A,15 amperes,N/A,Built-in dishwashers,N/A
No,N/A,Yes,N/A,N/A,Yes,6,N/A,No,N/A,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,1300 watts,Integrated,Stainless steel,N/A,N/A,No,N/A,No,N/A,120 volts,N/A,Yes,Electronic,No,N/A,Yes,N/A,49 decibels,Yes,Yes,Yes,N/A,Brown,Yes,N/A,N/A,No,N/A,N/A,Yes,Stainless steel,Yes,Yes,25 United States dollars,Yes,N/A,234 kilowatt hours,N/A,N/A,Yes,Yes,N/A,Yes,24 inches,N/A,No,32.06 inches,yes,Nylon,N/A,N/A,3,N/A,No,N/A,Yes,N/A,N/A,24 inches,Yes,N/A,N/A,Built-in dishwashers,N/A
N/A,N/A,Yes,N/A,N/A,Yes,4,N/A,Yes,Yes,N/A,N/A,N/A,N/A,4,1,N/A,Adjustable and removable,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Stainless steel,N/A,N/A,Yes,N/A,N/A,N/A,120 volts,N/A,N/A,Electronic,No,2,Yes,N/A,48 decibels,N/A,Yes,Yes,N/A,White,No,N/A,N/A,Yes,51.5 inches,N/A,N/A,Stainless steel,Yes,No,33 United States dollars,N/A,N/A,275 kilowatt hours,Yes,N/A,Yes,Yes,N/A,No,24 inches,N/A,Yes,33.5 inches,yes,Nylon,Yes,N/A,3,N/A,Yes,N/A,N/A,N/A,N/A,24 inches,N/A,7.1 amperes,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,Yes,9,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,Yes,Yes,No,N/A,N/A,Yes,Other,N/A,N/A,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,Digital,Yes,2,Yes,N/A,49 decibels,N/A,No,Yes,N/A,Silver,No,N/A,N/A,No,50.25 inches,N/A,Yes,Stainless steel,Yes,Yes,N/A,N/A,N/A,N/A,Yes,8.5 gallons,Yes,Yes,N/A,No,24 inches,N/A,No,34 inches,yes,Nylon,Yes,N/A,2,No,No,25 inches,N/A,N/A,N/A,24 inches,No,15 amperes,N/A,Built-in dishwashers,N/A
N/A,N/A,No,N/A,N/A,No,5,N/A,Yes,No,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,Yes,N/A,No,N/A,No,N/A,Other,N/A,500 watts,Integrated,Polymer,N/A,N/A,N/A,N/A,No,No,120 volts,Yes,Yes,Analog,Yes,2,No,No,62 decibels,N/A,Yes,No,N/A,Silver,No,N/A,Yes,No,N/A,N/A,No,Plastic,No,No,31 United States dollars,N/A,N/A,295 kilowatt hours,Yes,N/A,Yes,No,N/A,Yes,24 inches,N/A,No,34 inches,yes,Epoxy,Yes,No,3,N/A,No,N/A,N/A,N/A,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,No,5,N/A,No,N/A,N/A,N/A,N/A,N/A,4,1,N/A,Stationary,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,No,Electromechanical,Yes,2,Yes,N/A,57 decibels,Yes,Yes,No,N/A,White,No,N/A,N/A,No,44.5 inches,N/A,N/A,Stainless steel,No,N/A,30 United States dollars,Yes,N/A,280 kilowatt hours,N/A,N/A,Yes,Yes,N/A,No,17.63 inches,N/A,No,34 inches,yes,Nylon,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,24 inches,No,15 amperes,N/A,Built-in dishwashers,N/A
N/A,N/A,Yes,N/A,N/A,No,5,N/A,No,N/A,N/A,N/A,N/A,N/A,4,1,N/A,Stationary,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,Electromechanical,Yes,2,Yes,N/A,54 decibels,Yes,Yes,No,N/A,Black,Yes,N/A,N/A,No,44.5 inches,N/A,N/A,Stainless steel,No,N/A,30 United States dollars,Yes,N/A,280 kilowatt hours,N/A,N/A,Yes,Yes,N/A,No,24 inches,N/A,No,34 inches,yes,Nylon,Yes,N/A,4,N/A,Yes,24 inches,N/A,N/A,N/A,24 inches,No,15 amperes,N/A,Built-in dishwashers,N/A
N/A,N/A,No,N/A,N/A,No,5,N/A,Yes,No,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,N/A,No,No,N/A,No,N/A,Other,N/A,500 watts,Integrated,Polymer,N/A,N/A,N/A,N/A,No,No,120 volts,Yes,Yes,Analog,Yes,2,No,No,62 decibels,N/A,Yes,No,N/A,White,No,N/A,Yes,No,50.5 inches,N/A,No,Plastic,No,No,31 United States dollars,N/A,N/A,295 kilowatt hours,Yes,N/A,Yes,No,N/A,Yes,24 inches,N/A,No,34 inches,yes,Epoxy,Yes,No,2,N/A,No,25.75 inches,N/A,N/A,N/A,24 inches,No,6.2 amperes,N/A,Built-in dishwashers,N/A
N/A,No,Yes,N/A,N/A,Yes,4,N/A,Yes,Yes,N/A,N/A,N/A,N/A,3,1,N/A,Adjustable,N/A,Yes,Yes,Yes,N/A,N/A,N/A,N/A,Other,N/A,N/A,N/A,Stainless steel,N/A,N/A,N/A,N/A,No,No,120 volts,Yes,Yes,Electronic,Yes,2,N/A,N/A,48 decibels,N/A,Yes,Yes,N/A,White,Yes,N/A,Yes,Yes,54.5 inches,N/A,Yes,Stainless steel,Yes,Yes,22 United States dollars,Yes,N/A,265 kilowatt hours,Yes,4 gallons,No,Yes,N/A,Yes,36 inches,N/A,Yes,24 inches,yes,Nylon,N/A,Yes,3,N/A,Yes,27 inches,N/A,N/A,N/A,25 inches,No,15 amperes,N/A,Built-in dishwashers,N/A
N/A,N/A,N/A,34,Yes,Yes,N/A,Yes,No,N/A,24,49dBA,24,$32 with an electric water heater; $25 with a natural gas water heater,N/A,N/A,Up to 15 place settings,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,Stainless-steel,N/A,5,N/A,270,No,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Stainless/Stainless look,No,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,Yes,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,2,Full-size built-in,Yes
N/A,N/A,Yes,N/A,N/A,No,4,N/A,Yes,Yes,N/A,N/A,N/A,N/A,3,1,N/A,Stationary,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Plastic,N/A,N/A,N/A,N/A,Yes,No,N/A,N/A,Yes,Electronic,No,2,N/A,N/A,N/A,N/A,No,Yes,N/A,Black,No,N/A,N/A,N/A,N/A,N/A,N/A,Plastic,No,No,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,N/A,No,24 inches,N/A,N/A,34.63 inches,yes,Nylon,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
No,Yes,Yes,N/A,N/A,Yes,5,N/A,No,N/A,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,1300 watts,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,N/A,Yes,Electronic,No,3,Yes,N/A,44 decibels,No,Yes,Yes,N/A,Black,No,N/A,N/A,No,47.25 inches,N/A,Yes,Stainless steel,No,Yes,27 United States dollars,N/A,N/A,259 kilowatt hours,N/A,N/A,Yes,Yes,N/A,Yes,23.63 inches,N/A,Yes,33.88 inches,yes,Nylon,Yes,N/A,3,N/A,No,23.75 inches,No,N/A,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
N/A,Yes,No,N/A,N/A,No,6,N/A,Yes,N/A,N/A,N/A,N/A,N/A,6,1,N/A,N/A,N/A,No,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,Electronic,No,N/A,N/A,N/A,40 decibels,N/A,Yes,No,N/A,Silver,No,N/A,N/A,No,N/A,N/A,Yes,Stainless steel,Yes,N/A,30 United States dollars,N/A,N/A,279 kilowatt hours,N/A,N/A,Yes,Yes,N/A,Yes,24 inches,N/A,Yes,34 inches,yes,Nylon,N/A,N/A,4,N/A,No,N/A,N/A,N/A,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
N/A,N/A,No,N/A,N/A,No,5,N/A,Yes,No,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,Yes,Yes,No,N/A,No,N/A,Other,N/A,500 watts,Integrated,Polymer,N/A,N/A,N/A,N/A,No,No,120 volts,Yes,Yes,Analog,Yes,2,No,No,62 decibels,N/A,Yes,No,N/A,White,No,N/A,Yes,No,50.5 inches,N/A,No,Plastic,No,No,31 United States dollars,N/A,N/A,295 kilowatt hours,Yes,N/A,Yes,No,N/A,Yes,24 inches,N/A,No,34 inches,yes,Epoxy,Yes,No,3,N/A,No,25.75 inches,N/A,N/A,N/A,24 inches,No,6.2 amperes,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,Yes,7,N/A,Yes,Yes,N/A,N/A,N/A,N/A,3,1,N/A,Adjustable,N/A,Yes,No,Yes,No,N/A,N/A,N/A,N/A,N/A,800 watts,Integrated,Stainless steel,N/A,N/A,No,N/A,No,No,120 volts,N/A,Yes,Electromechanical,Yes,3,N/A,N/A,40 decibels,N/A,No,Yes,N/A,Silver,No,N/A,Yes,No,51.5 inches,N/A,N/A,Stainless steel,Yes,No,33 United States dollars,N/A,N/A,275 kilowatt hours,Yes,N/A,Yes,Yes,N/A,No,24 inches,N/A,No,34.75 inches,yes,Nylon,Yes,N/A,N/A,N/A,Yes,24 inches,N/A,N/A,N/A,24 inches,No,9 amperes,N/A,Built-in dishwashers,N/A
No,No,Yes,N/A,N/A,No,3,N/A,No,No,N/A,N/A,N/A,N/A,3,1,N/A,Stationary,N/A,No,No,No,Yes,N/A,No,Yes,N/A,N/A,N/A,Integrated,Plastic,No,N/A,No,N/A,No,No,N/A,Yes,Yes,Electronic,No,2,No,No,55 decibels,No,Yes,No,N/A,White,No,N/A,No,No,N/A,N/A,No,N/A,No,No,31 United States dollars,Yes,N/A,260 kilowatt hours,No,N/A,Yes,No,Owner's manual,Yes,24 inches,N/A,No,34 inches,yes,Other,No,No,N/A,No,No,N/A,No,No,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
No,No,Yes,N/A,N/A,Yes,5,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,No,No,Yes,Yes,N/A,No,No,N/A,N/A,N/A,Integrated,Plastic,No,N/A,No,N/A,No,No,N/A,Yes,Yes,Electronic,No,2,No,No,51 decibels,No,Yes,Yes,N/A,White,Yes,N/A,No,No,N/A,N/A,No,N/A,Yes,No,31 United States dollars,No,N/A,260 kilowatt hours,No,N/A,Yes,No,Owner's manual,Yes,24 inches,N/A,No,34 inches,yes,Nylon,No,No,N/A,No,No,N/A,No,No,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,Yes,6,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,No,Yes,N/A,Yes,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,Electronic,Yes,2,Yes,N/A,48 decibels,N/A,Yes,No,N/A,White,Yes,N/A,N/A,No,49.5 inches,N/A,Yes,Stainless steel,Yes,N/A,31 United States dollars,Yes,N/A,260 kilowatt hours,Yes,N/A,Yes,No,N/A,Yes,24 inches,N/A,No,34 inches,yes,Nylon,N/A,N/A,3,N/A,Yes,27.5 inches,N/A,N/A,N/A,24 inches,No,15 amperes,N/A,Built-in dishwashers,N/A
No,No,Yes,N/A,N/A,Yes,5,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,No,No,Yes,Yes,N/A,No,No,N/A,N/A,N/A,Integrated,Plastic,No,N/A,No,N/A,No,No,N/A,Yes,Yes,Electronic,No,2,No,No,51 decibels,No,Yes,Yes,N/A,Black,Yes,N/A,No,No,N/A,N/A,No,N/A,Yes,No,31 United States dollars,No,N/A,260 kilowatt hours,No,N/A,Yes,No,Owner's manual,Yes,24 inches,N/A,No,34 inches,yes,Nylon,No,No,N/A,No,No,N/A,No,No,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
No,Yes,Yes,N/A,N/A,Yes,5,N/A,No,N/A,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,1300 watts,N/A,Stainless steel,N/A,N/A,No,N/A,No,N/A,120 volts,N/A,Yes,Electronic,No,3,Yes,N/A,44 decibels,No,Yes,Yes,N/A,Silver,No,N/A,N/A,N/A,48.44 inches,N/A,Yes,Stainless steel,Yes,Yes,27 United States dollars,Yes,N/A,259 kilowatt hours,Yes,2.9 gallons,Yes,Yes,N/A,Yes,23.63 inches,N/A,No,33.88 inches,yes,Nylon,N/A,N/A,3,N/A,N/A,23.75 inches,No,N/A,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,Yes,6,N/A,No,Yes,N/A,N/A,N/A,N/A,6,1,N/A,Adjustable,N/A,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,Electronic,Yes,2,Yes,N/A,42 decibels,N/A,No,No,N/A,Silver,Yes,N/A,N/A,No,49.5 inches,N/A,Yes,Stainless steel,Yes,N/A,N/A,Yes,N/A,N/A,Yes,N/A,Yes,No,N/A,Yes,24 inches,N/A,No,34 inches,yes,Nylon,N/A,N/A,4,N/A,Yes,24.75 inches,N/A,N/A,N/A,24 inches,No,15 amperes,N/A,Built-in dishwashers,N/A
No,No,Yes,N/A,N/A,Yes,8,N/A,No,Yes,N/A,N/A,N/A,N/A,8,1,N/A,Adjustable,N/A,Yes,Yes,Yes,No,N/A,No,No,N/A,N/A,N/A,Integrated,Plastic,No,N/A,No,N/A,No,No,N/A,Yes,Yes,Electronic,Yes,2,No,No,52 decibels,No,No,Yes,N/A,Black,Yes,N/A,No,No,N/A,N/A,No,N/A,Yes,No,N/A,No,N/A,N/A,No,N/A,Yes,Yes,Owner's manual,Yes,24 inches,N/A,No,34.25 inches,yes,Nylon,No,No,N/A,No,No,N/A,No,No,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,Yes,4,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,N/A,Yes,Yes,N/A,N/A,Yes,Other,N/A,N/A,Integrated,Plastic,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,Electronic,Yes,N/A,Yes,N/A,54 decibels,N/A,Yes,Yes,N/A,Black,No,N/A,N/A,No,49.25 inches,N/A,Yes,Stainless steel,No,Yes,30 United States dollars,N/A,N/A,286 kilowatt hours,Yes,8.5 gallons,Yes,Yes,N/A,No,24 inches,N/A,No,34.25 inches,yes,Nylon,Yes,N/A,N/A,N/A,Yes,25 inches,N/A,N/A,N/A,24 inches,No,10 amperes,N/A,Built-in dishwashers,N/A
N/A,Yes,Yes,N/A,N/A,Yes,4,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Stationary,N/A,Yes,Yes,Yes,Yes,N/A,N/A,Yes,Other,N/A,N/A,Integrated,Polymer,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,Electronic,Yes,N/A,Yes,N/A,55 decibels,No,Yes,Yes,N/A,White,No,N/A,Yes,No,49.25 inches,N/A,No,Plastic,No,Yes,30 United States dollars,N/A,N/A,286 kilowatt hours,Yes,N/A,Yes,Yes,N/A,Yes,24 inches,N/A,No,34.25 inches,yes,Nylon,Yes,Yes,2,N/A,Yes,25 inches,N/A,N/A,N/A,24 inches,No,10 amperes,N/A,Built-in dishwashers,N/A
N/A,N/A,Yes,N/A,N/A,No,4,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Stationary,N/A,Yes,Yes,Yes,Yes,N/A,N/A,N/A,Other,N/A,N/A,Integrated,Polymer,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,Electronic,No,N/A,N/A,N/A,55 decibels,No,Yes,Yes,N/A,Silver,No,N/A,Yes,No,49.25 inches,N/A,No,Polymer,No,Yes,30 United States dollars,N/A,N/A,286 kilowatt hours,Yes,8.5 gallons,Yes,Yes,N/A,Yes,24 inches,N/A,No,34.25 inches,yes,Nylon,N/A,N/A,3,N/A,Yes,25 inches,N/A,N/A,N/A,24 inches,Yes,10 amperes,N/A,Built-in dishwashers,N/A
No,Yes,Yes,N/A,N/A,Yes,6,N/A,No,N/A,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,1300 watts,Integrated,Stainless steel,N/A,N/A,No,N/A,No,N/A,120 volts,N/A,Yes,Electronic,No,3,Yes,N/A,44 decibels,No,Yes,Yes,N/A,Silver,No,N/A,N/A,No,47.25 inches,N/A,Yes,Stainless steel,Yes,Yes,27 United States dollars,Yes,N/A,259 kilowatt hours,N/A,N/A,Yes,Yes,N/A,Yes,23.63 inches,N/A,No,33.88 inches,yes,Nylon,Yes,N/A,3,N/A,No,23.75 inches,No,N/A,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
N/A,N/A,Yes,N/A,N/A,Yes,4,N/A,Yes,Yes,N/A,N/A,N/A,N/A,4,1,N/A,Adjustable,N/A,Yes,Yes,Yes,No,N/A,No,N/A,Other,N/A,800 watts,Integrated,Polymer,N/A,N/A,Yes,N/A,Yes,No,120 volts,N/A,Yes,Electromechanical,No,2,No,No,48 decibels,N/A,Yes,Yes,N/A,Black,No,N/A,N/A,No,51.5 inches,N/A,No,Stainless steel,Yes,No,29 United States dollars,N/A,N/A,275 kilowatt hours,Yes,N/A,Yes,Yes,N/A,No,24 inches,N/A,Yes,34.5 inches,yes,Nylon,Yes,No,3,N/A,Yes,24 inches,N/A,N/A,N/A,24 inches,No,7.1 amperes,N/A,Built-in dishwashers,N/A
No,N/A,Yes,N/A,N/A,Yes,6,N/A,No,N/A,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,1300 watts,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,N/A,Yes,Electronic,Yes,N/A,Yes,N/A,50 decibels,Yes,Yes,Yes,N/A,White,Yes,N/A,N/A,No,47.25 inches,N/A,Yes,Stainless steel,No,Yes,30 United States dollars,N/A,N/A,279 kilowatt hours,N/A,3 gallons,No,Yes,N/A,Yes,24 inches,N/A,Yes,33.94 inches,yes,Nylon,N/A,Yes,3,N/A,No,N/A,Yes,N/A,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
N/A,N/A,Yes,N/A,N/A,Yes,6,N/A,No,N/A,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,1300 watts,Integrated,Stainless steel,N/A,N/A,N/A,N/A,No,N/A,120 volts,N/A,Yes,Electronic,Yes,3,N/A,N/A,44 decibels,No,No,Yes,N/A,Silver,Yes,N/A,N/A,No,N/A,N/A,Yes,Stainless steel,Yes,Yes,N/A,N/A,N/A,N/A,N/A,2.9 gallons,Yes,Yes,N/A,Yes,23.63 inches,N/A,No,33.88 inches,yes,Nylon,Yes,N/A,3,N/A,No,N/A,No,N/A,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
No,Yes,Yes,N/A,N/A,Yes,4,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,Yes,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,1300 watts,Integrated,Stainless steel,N/A,N/A,No,N/A,No,N/A,120 volts,N/A,Yes,Electronic,No,N/A,Yes,N/A,46 decibels,No,Yes,Yes,N/A,Silver,No,N/A,N/A,No,48.44 inches,N/A,Yes,Stainless steel,Yes,Yes,27 United States dollars,Yes,N/A,259 kilowatt hours,Yes,N/A,Yes,Yes,N/A,Yes,23.63 inches,N/A,No,33.88 inches,yes,Nylon,Yes,N/A,3,N/A,No,23.75 inches,No,N/A,N/A,24 inches,No,N/A,N/A,Built-in dishwashers,N/A
N/A,N/A,Yes,N/A,N/A,Yes,5,N/A,No,Yes,N/A,N/A,N/A,N/A,5,1,N/A,Adjustable,N/A,No,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Integrated,Plastic,N/A,N/A,N/A,N/A,No,N/A,120 volts,Yes,Yes,Electronic,No,2,N/A,N/A,51 decibels,N/A,Yes,Yes,N/A,Silver,Yes,N/A,Yes,No,49.5 inches,N/A,Yes,Plastic,Yes,N/A,31 United States dollars,Yes,N/A,260 kilowatt hours,N/A,N/A,Yes,No,N/A,Yes,24 inches,N/A,Yes,33.88 inches,yes,Nylon,Yes,N/A,3,N/A,Yes,26.5 inches,N/A,N/A,N/A,24 inches,No,15 amperes,N/A,Built-in dishwashers,N/A
